time,pair,tf,dir,entry,stop,target,stop_pips,R
2022-08-12 15:00:00,EURUSD,H1,sell,1.02603,1.02687,1.02435,8.4,1.870
2022-08-15 11:00:00,EURUSD,H1,sell,1.01848,1.02240,1.01064,39.2,1.969
2022-08-16 16:00:00,EURUSD,H1,sell,1.01702,1.01816,1.01474,11.4,-1.099
2022-08-18 17:00:00,EURUSD,H1,sell,1.00867,1.01000,1.00601,13.3,1.914
2022-08-19 01:00:00,EURUSD,H1,sell,1.00828,1.00877,1.00730,4.9,-1.203
2022-08-29 10:00:00,EURUSD,H1,sell,0.99824,1.00301,0.98870,47.7,-1.026
2022-08-29 22:00:00,EURUSD,H1,sell,0.99905,1.00142,0.99431,23.7,-1.050
2022-09-02 07:00:00,EURUSD,H1,buy,0.99909,0.99668,1.00391,24.1,-1.049
2022-09-05 05:00:00,EURUSD,H1,sell,0.99234,0.99381,0.98940,14.7,-1.078
2022-09-06 05:00:00,EURUSD,H1,sell,0.99525,0.99872,0.98831,34.7,1.965
2022-09-07 22:00:00,EURUSD,H1,buy,0.99873,0.99817,0.99985,5.6,-1.182
2022-09-09 04:00:00,EURUSD,H1,buy,1.01065,1.00572,1.02051,49.3,-1.025
2022-09-09 13:00:00,EURUSD,H1,buy,1.00431,1.00310,1.00673,12.1,1.906
2022-09-12 08:00:00,EURUSD,H1,buy,1.01413,1.01280,1.01679,13.3,-1.086
2022-09-14 03:00:00,EURUSD,H1,sell,0.99878,1.00031,0.99572,15.3,-1.076
2022-09-20 05:00:00,EURUSD,H1,sell,1.00072,1.00430,0.99356,35.8,1.966
2022-09-20 18:00:00,EURUSD,H1,sell,0.99707,0.99797,0.99527,9.0,1.878
2022-10-05 01:00:00,EURUSD,H1,buy,0.99634,0.99583,0.99736,5.1,1.803
2022-10-10 09:00:00,EURUSD,H1,buy,0.96999,0.96859,0.97279,14.0,1.918
2022-10-11 20:00:00,EURUSD,H1,sell,0.97029,0.97188,0.96711,15.9,-1.073
2022-10-12 05:00:00,EURUSD,H1,buy,0.97085,0.96949,0.97357,13.6,-1.084
2022-10-13 22:00:00,EURUSD,H1,buy,0.97900,0.97606,0.98488,29.4,-1.041
2022-10-14 12:00:00,EURUSD,H1,buy,0.97175,0.97060,0.97405,11.5,1.902
2022-10-17 10:00:00,EURUSD,H1,buy,0.98149,0.97284,0.99879,86.5,-1.014
2022-10-19 15:00:00,EURUSD,H1,buy,0.97729,0.97561,0.98065,16.8,-1.069
2022-10-20 11:00:00,EURUSD,H1,buy,0.98224,0.97787,0.99098,43.7,-1.028
2022-10-21 01:00:00,EURUSD,H1,sell,0.97755,0.97842,0.97581,8.7,-1.126
2022-10-23 21:00:00,EURUSD,H1,buy,0.98352,0.98298,0.98460,5.4,-1.188
2022-10-24 23:00:00,EURUSD,H1,buy,0.98846,0.98763,0.99012,8.3,-1.131
2022-10-25 22:00:00,EURUSD,H1,buy,0.99521,0.99424,0.99715,9.7,1.886
2022-10-31 18:00:00,EURUSD,H1,buy,0.98856,0.98707,0.99154,14.9,1.923
2022-11-02 00:00:00,EURUSD,H1,sell,0.98874,0.99006,0.98610,13.2,-1.087
2022-11-02 19:00:00,EURUSD,H1,sell,0.98208,0.98327,0.97970,11.9,-1.095
2022-11-03 11:00:00,EURUSD,H1,sell,0.97479,0.97956,0.96525,47.7,-1.026
2022-11-06 19:00:00,EURUSD,H1,buy,0.99325,0.98991,0.99993,33.4,1.964
2022-11-07 09:00:00,EURUSD,H1,buy,0.99864,0.99647,1.00298,21.7,1.946
2022-11-07 19:00:00,EURUSD,H1,buy,1.00271,1.00134,1.00545,13.7,-1.084
2022-11-08 08:00:00,EURUSD,H1,sell,0.99993,1.00106,0.99767,11.3,-1.100
2022-11-09 23:00:00,EURUSD,H1,buy,1.00286,1.00091,1.00676,19.5,-1.060
2022-11-10 14:00:00,EURUSD,H1,buy,1.01811,1.01273,1.02887,53.8,1.977
2022-11-10 22:00:00,EURUSD,H1,buy,1.01839,1.01620,1.02277,21.9,1.946
2022-11-11 11:00:00,EURUSD,H1,buy,1.03328,1.02647,1.04690,68.1,1.982
2022-11-14 09:00:00,EURUSD,H1,sell,1.03133,1.03369,1.02661,23.6,-1.050
2022-11-15 22:00:00,EURUSD,H1,buy,1.03534,1.03297,1.04008,23.7,1.950
2022-11-16 11:00:00,EURUSD,H1,buy,1.03943,1.03713,1.04403,23.0,-1.052
2022-11-17 00:00:00,EURUSD,H1,buy,1.03801,1.03586,1.04231,21.5,-1.055
2022-11-17 15:00:00,EURUSD,H1,sell,1.03686,1.03704,1.03650,1.8,1.590
2022-11-18 13:00:00,EURUSD,H1,sell,1.03309,1.03726,1.02475,41.7,1.971
2022-11-21 12:00:00,EURUSD,H1,sell,1.02323,1.02635,1.01699,31.2,-1.039
2022-11-22 11:00:00,EURUSD,H1,buy,1.02748,1.02528,1.03188,22.0,1.946
2022-11-24 08:00:00,EURUSD,H1,buy,1.04226,1.03806,1.05066,42.0,-1.029
2022-11-28 02:00:00,EURUSD,H1,buy,1.03737,1.03455,1.04301,28.2,1.958
2022-11-29 01:00:00,EURUSD,H1,sell,1.03588,1.03952,1.02860,36.4,-1.033
2022-11-30 23:00:00,EURUSD,H1,buy,1.04390,1.04177,1.04816,21.3,-1.055
2022-12-01 14:00:00,EURUSD,H1,buy,1.05184,1.04684,1.06184,50.0,-1.024
2022-12-05 04:00:00,EURUSD,H1,buy,1.05590,1.05293,1.06184,29.7,-1.040
2022-12-05 22:00:00,EURUSD,H1,sell,1.04924,1.05196,1.04380,27.2,-1.044
2022-12-07 15:00:00,EURUSD,H1,sell,1.05095,1.05294,1.04697,19.9,-1.059
2022-12-07 21:00:00,EURUSD,H1,sell,1.04957,1.05160,1.04551,20.3,-1.058
2022-12-08 21:00:00,EURUSD,H1,buy,1.05740,1.05507,1.06206,23.3,-1.051
2022-12-09 15:00:00,EURUSD,H1,sell,1.05302,1.05567,1.04772,26.5,-1.045
2022-12-13 01:00:00,EURUSD,H1,buy,1.05466,1.05301,1.05796,16.5,-1.070
2022-12-13 15:00:00,EURUSD,H1,buy,1.06269,1.06092,1.06623,17.7,1.934
2022-12-15 17:00:00,EURUSD,H1,sell,1.06288,1.06391,1.06082,10.3,-1.108
2022-12-18 23:00:00,EURUSD,H1,sell,1.06063,1.06140,1.05909,7.7,-1.140
2022-12-19 17:00:00,EURUSD,H1,buy,1.06074,1.05995,1.06232,7.9,-1.137
2022-12-21 01:00:00,EURUSD,H1,buy,1.06137,1.06056,1.06299,8.1,1.866
2022-12-21 16:00:00,EURUSD,H1,sell,1.06035,1.06209,1.05687,17.4,-1.067
2022-12-22 05:00:00,EURUSD,H1,buy,1.06280,1.06249,1.06342,3.1,-1.287
2022-12-22 17:00:00,EURUSD,H1,sell,1.05961,1.06040,1.05803,7.9,-1.137
2022-12-23 16:00:00,EURUSD,H1,buy,1.06172,1.06048,1.06420,12.4,-1.092
2022-12-27 00:00:00,EURUSD,H1,buy,1.06553,1.06344,1.06971,20.9,-1.056
2022-12-28 15:00:00,EURUSD,H1,sell,1.06077,1.06365,1.05501,28.8,-1.042
2022-12-29 12:00:00,EURUSD,H1,buy,1.06818,1.06352,1.07750,46.6,0.441
2022-12-29 22:00:00,EURUSD,H1,sell,1.06588,1.06702,1.06360,11.4,-1.099
2023-01-03 11:00:00,EURUSD,H1,sell,1.05579,1.05983,1.04771,40.4,-1.030
2023-01-09 06:00:00,EURUSD,H1,buy,1.06843,1.06590,1.07349,25.3,1.953
2023-01-10 22:00:00,EURUSD,H1,buy,1.07334,1.07245,1.07512,8.9,1.877
2023-01-11 19:00:00,EURUSD,H1,buy,1.07610,1.07475,1.07880,13.5,-1.085
2023-01-12 23:00:00,EURUSD,H1,buy,1.08398,1.08305,1.08584,9.3,1.882
2023-01-15 20:00:00,EURUSD,H1,buy,1.08678,1.08191,1.09652,48.7,-1.025
2023-01-16 08:00:00,EURUSD,H1,sell,1.08156,1.08374,1.07720,21.8,-1.054
2023-01-17 16:00:00,EURUSD,H1,sell,1.07872,1.08045,1.07526,17.3,-1.067
2023-01-18 08:00:00,EURUSD,H1,buy,1.08582,1.08105,1.09536,47.7,-1.026
2023-01-18 15:00:00,EURUSD,H1,buy,1.07889,1.07856,1.07955,3.3,-1.275
2023-01-19 17:00:00,EURUSD,H1,sell,1.08299,1.08408,1.08081,10.9,-1.103
2023-01-23 03:00:00,EURUSD,H1,buy,1.08997,1.08861,1.09269,13.6,-1.084
2023-01-31 17:00:00,EURUSD,H1,buy,1.08613,1.08587,1.08665,2.6,-1.325
2023-02-01 16:00:00,EURUSD,H1,buy,1.09886,1.08875,1.11908,101.1,-1.012
2023-02-06 01:00:00,EURUSD,H1,sell,1.07871,1.07997,1.07619,12.6,1.910
2023-02-14 15:00:00,EURUSD,H1,sell,1.07377,1.07464,1.07203,8.7,1.874
2023-02-15 07:00:00,EURUSD,H1,sell,1.06974,1.07337,1.06248,36.3,1.967
2023-02-16 10:00:00,EURUSD,H1,sell,1.06729,1.07096,1.05995,36.7,1.967
2023-02-17 06:00:00,EURUSD,H1,sell,1.06256,1.06621,1.05526,36.5,-1.033
2023-02-19 21:00:00,EURUSD,H1,buy,1.06836,1.06718,1.07072,11.8,-1.096
2023-02-20 13:00:00,EURUSD,H1,sell,1.06832,1.06923,1.06650,9.1,1.879
2023-02-21 22:00:00,EURUSD,H1,sell,1.06596,1.06648,1.06492,5.2,1.806
2023-02-23 00:00:00,EURUSD,H1,sell,1.06221,1.06257,1.06149,3.6,-1.258
2023-02-23 11:00:00,EURUSD,H1,sell,1.05822,1.06200,1.05066,37.8,-1.032
2023-02-26 23:00:00,EURUSD,H1,sell,1.05488,1.05608,1.05248,12.0,-1.094
2023-02-27 23:00:00,EURUSD,H1,buy,1.05900,1.05845,1.06010,5.5,-1.185
2023-03-01 14:00:00,EURUSD,H1,buy,1.06570,1.06424,1.06862,14.6,-1.079
2023-03-03 09:00:00,EURUSD,H1,buy,1.06135,1.05993,1.06419,14.2,-1.081
2023-03-06 22:00:00,EURUSD,H1,buy,1.06909,1.06753,1.07221,15.6,-1.074
2023-03-08 14:00:00,EURUSD,H1,sell,1.05456,1.05624,1.05120,16.8,-1.069
2023-03-09 21:00:00,EURUSD,H1,sell,1.05892,1.06003,1.05670,11.1,-1.101
2023-03-17 11:00:00,EURUSD,H1,buy,1.06672,1.06112,1.07792,56.0,1.978
2023-03-21 17:00:00,EURUSD,H1,buy,1.07697,1.07551,1.07989,14.6,1.921
2023-03-26 23:00:00,EURUSD,H1,buy,1.07715,1.07565,1.08015,15.0,-1.077
2023-03-27 23:00:00,EURUSD,H1,sell,1.08150,1.08204,1.08042,5.4,-1.188
2023-03-28 21:00:00,EURUSD,H1,buy,1.08449,1.08354,1.08639,9.5,-1.116
2023-03-30 17:00:00,EURUSD,H1,buy,1.09046,1.08910,1.09318,13.6,-1.084
2023-04-04 03:00:00,EURUSD,H1,buy,1.09250,1.08818,1.10114,43.2,-1.028
2023-04-05 06:00:00,EURUSD,H1,buy,1.09457,1.09398,1.09575,5.9,-1.175
2023-04-05 20:00:00,EURUSD,H1,sell,1.08939,1.09113,1.08591,17.4,-1.067
2023-04-09 22:00:00,EURUSD,H1,sell,1.08984,1.09155,1.08642,17.1,-1.068
2023-04-11 14:00:00,EURUSD,H1,sell,1.09074,1.09289,1.08644,21.5,-1.055
2023-04-12 01:00:00,EURUSD,H1,buy,1.09354,1.09154,1.09754,20.0,1.941
2023-04-13 19:00:00,EURUSD,H1,buy,1.10516,1.10433,1.10682,8.3,1.869
2023-04-17 07:00:00,EURUSD,H1,sell,1.09767,1.10007,1.09287,24.0,1.950
2023-04-24 17:00:00,EURUSD,H1,sell,1.10455,1.10493,1.10379,3.8,-1.248
2023-04-25 21:00:00,EURUSD,H1,sell,1.09755,1.09814,1.09637,5.9,-1.175
2023-04-26 18:00:00,EURUSD,H1,buy,1.10396,1.10313,1.10562,8.3,1.869
2023-05-01 00:00:00,EURUSD,H1,buy,1.10062,1.09997,1.10192,6.5,-1.161
2023-05-01 23:00:00,EURUSD,H1,sell,1.09839,1.09953,1.09611,11.4,-1.099
2023-05-03 04:00:00,EURUSD,H1,buy,1.10395,1.10132,1.10921,26.3,-1.045
2023-05-08 08:00:00,EURUSD,H1,buy,1.10369,1.10217,1.10673,15.2,-1.076
2023-05-09 04:00:00,EURUSD,H1,sell,1.09787,1.10017,1.09327,23.0,-1.052
2023-05-10 14:00:00,EURUSD,H1,sell,1.09767,1.10078,1.09145,31.1,1.961
2023-05-11 10:00:00,EURUSD,H1,sell,1.09175,1.09392,1.08741,21.7,1.946
2023-05-14 20:00:00,EURUSD,H1,sell,1.08530,1.08628,1.08334,9.8,-1.113
2023-05-17 00:00:00,EURUSD,H1,sell,1.08646,1.08746,1.08446,10.0,1.889
2023-05-18 22:00:00,EURUSD,H1,sell,1.07720,1.07810,1.07540,9.0,-1.122
2023-05-19 14:00:00,EURUSD,H1,buy,1.08083,1.07832,1.08585,25.1,-1.047
2023-05-22 15:00:00,EURUSD,H1,buy,1.08112,1.07951,1.08434,16.1,-1.072
2023-05-23 14:00:00,EURUSD,H1,sell,1.07761,1.07964,1.07355,20.3,-1.058
2023-05-25 04:00:00,EURUSD,H1,sell,1.07228,1.07448,1.06788,22.0,-1.054
2023-05-28 22:00:00,EURUSD,H1,buy,1.07312,1.07162,1.07612,15.0,-1.077
2023-05-29 23:00:00,EURUSD,H1,sell,1.07065,1.07272,1.06651,20.7,-1.057
2023-05-30 22:00:00,EURUSD,H1,sell,1.07046,1.07366,1.06406,32.0,1.962
2023-06-01 21:00:00,EURUSD,H1,buy,1.07614,1.07568,1.07706,4.6,1.786
2023-06-05 00:00:00,EURUSD,H1,sell,1.06999,1.07055,1.06887,5.6,1.818
2023-06-06 04:00:00,EURUSD,H1,sell,1.06991,1.07338,1.06297,34.7,-1.035
2023-06-07 00:00:00,EURUSD,H1,buy,1.06904,1.06877,1.06958,2.7,-1.316
2023-06-08 02:00:00,EURUSD,H1,buy,1.07111,1.07045,1.07243,6.6,-1.159
2023-06-09 08:00:00,EURUSD,H1,buy,1.07668,1.07570,1.07864,9.8,-1.113
2023-06-12 13:00:00,EURUSD,H1,buy,1.07534,1.07420,1.07762,11.4,1.901
2023-06-13 14:00:00,EURUSD,H1,buy,1.07901,1.07771,1.08161,13.0,-1.088
2023-06-14 18:00:00,EURUSD,H1,buy,1.08322,1.08003,1.08960,31.9,1.962
2023-06-15 12:00:00,EURUSD,H1,buy,1.09436,1.08134,1.12040,130.2,1.990
2023-06-26 07:00:00,EURUSD,H1,buy,1.09177,1.08863,1.09805,31.4,-1.038
2023-07-11 03:00:00,EURUSD,H1,buy,1.10080,1.10051,1.10138,2.9,-1.301
2023-07-30 19:00:00,EURUSD,H1,buy,1.10238,1.10085,1.10544,15.3,-1.076
2023-07-31 20:00:00,EURUSD,H1,sell,1.09888,1.10038,1.09588,15.0,1.923
2023-08-02 01:00:00,EURUSD,H1,buy,1.09942,1.09792,1.10242,15.0,-1.077
2023-08-02 10:00:00,EURUSD,H1,sell,1.09272,1.09881,1.08054,60.9,-1.020
2023-08-07 04:00:00,EURUSD,H1,buy,1.09746,1.09698,1.09842,4.8,-1.207
2023-08-07 18:00:00,EURUSD,H1,buy,1.10017,1.09980,1.10091,3.7,-1.253
2023-08-08 17:00:00,EURUSD,H1,sell,1.09540,1.09629,1.09362,8.9,-1.123
2023-08-09 15:00:00,EURUSD,H1,sell,1.09735,1.09926,1.09353,19.1,-1.061
2023-08-10 18:00:00,EURUSD,H1,buy,1.09826,1.09767,1.09944,5.9,1.825
2023-08-11 06:00:00,EURUSD,H1,sell,1.09931,1.10041,1.09711,11.0,-1.102
2023-08-13 19:00:00,EURUSD,H1,sell,1.09432,1.09527,1.09242,9.5,-1.116
2023-08-14 14:00:00,EURUSD,H1,sell,1.09045,1.09369,1.08397,32.4,-1.037
2023-08-15 23:00:00,EURUSD,H1,sell,1.09064,1.09127,1.08938,6.3,-1.166
2023-08-16 20:00:00,EURUSD,H1,sell,1.08694,1.08842,1.08398,14.8,-1.078
2023-08-18 00:00:00,EURUSD,H1,sell,1.08824,1.08948,1.08576,12.4,1.908
2023-08-21 12:00:00,EURUSD,H1,buy,1.09016,1.08743,1.09562,27.3,-1.044
2023-08-22 03:00:00,EURUSD,H1,buy,1.09255,1.09036,1.09693,21.9,-1.054
2023-08-22 16:00:00,EURUSD,H1,sell,1.08443,1.08563,1.08203,12.0,-1.094
2023-08-30 16:00:00,EURUSD,H1,buy,1.09227,1.09158,1.09365,6.9,-1.153
2023-09-03 19:00:00,EURUSD,H1,sell,1.07756,1.07825,1.07618,6.9,-1.153
2023-09-04 14:00:00,EURUSD,H1,sell,1.07953,1.08010,1.07839,5.7,1.820
2023-09-05 02:00:00,EURUSD,H1,sell,1.07666,1.07948,1.07102,28.2,1.958
2023-09-05 21:00:00,EURUSD,H1,sell,1.07143,1.07290,1.06849,14.7,-1.078
2023-09-06 06:00:00,EURUSD,H1,buy,1.07385,1.07221,1.07713,16.4,-1.071
2023-09-06 16:00:00,EURUSD,H1,sell,1.07268,1.07305,1.07194,3.7,-1.253
2023-09-08 00:00:00,EURUSD,H1,sell,1.07134,1.07242,1.06918,10.8,-1.104
2023-09-11 06:00:00,EURUSD,H1,buy,1.07320,1.07212,1.07536,10.8,-1.104
2023-09-13 10:00:00,EURUSD,H1,buy,1.07362,1.07100,1.07886,26.2,-1.046
2023-09-14 10:00:00,EURUSD,H1,sell,1.06675,1.07486,1.05053,81.1,1.985
2023-09-18 22:00:00,EURUSD,H1,sell,1.06845,1.06975,1.06585,13.0,-1.088
2023-09-20 10:00:00,EURUSD,H1,buy,1.07196,1.06911,1.07766,28.5,-1.042
2023-09-20 20:00:00,EURUSD,H1,sell,1.06312,1.06653,1.05630,34.1,-1.035
2023-09-21 19:00:00,EURUSD,H1,buy,1.06603,1.06548,1.06713,5.5,-1.185
2023-09-24 22:00:00,EURUSD,H1,sell,1.06489,1.06565,1.06337,7.6,1.859
2023-10-11 22:00:00,EURUSD,H1,sell,1.06238,1.06289,1.06136,5.1,-1.197
2023-10-13 06:00:00,EURUSD,H1,sell,1.05179,1.05594,1.04349,41.5,-1.029
2023-10-17 14:00:00,EURUSD,H1,sell,1.05689,1.05958,1.05151,26.9,-1.044
2023-10-18 15:00:00,EURUSD,H1,sell,1.05354,1.05546,1.04970,19.2,-1.061
2023-10-19 14:00:00,EURUSD,H1,buy,1.05807,1.05551,1.06319,25.6,1.953
2023-10-26 06:00:00,EURUSD,H1,sell,1.05372,1.05535,1.05046,16.3,-1.071
2023-10-31 16:00:00,EURUSD,H1,sell,1.05749,1.05866,1.05515,11.7,1.903
2023-11-02 15:00:00,EURUSD,H1,sell,1.06211,1.06333,1.05967,12.2,-1.093
2023-11-05 19:00:00,EURUSD,H1,buy,1.07242,1.07197,1.07332,4.5,1.783
